Unnamed: 0,car_name,registration_year,insurance_validity,fuel_type,seats,kms_driven,ownsership,transmission,manufacturing_year,mileage(kmpl),engine(cc),max_power(bhp),torque(Nm),price(in lakhs),price(in lakhs)_Scaled
15,2022 Hyundai i20 Asta Opt,Aug-22,Third Party insurance,Petrol,5,30000.0,First Owner,Manual,2022,21.0,1197.0,1197.0,8180.0,8.95,-0.04507201721144056
16,2014 BMW 3 Series 320d Luxury Line,2014,Third Party insurance,Diesel,5,150000.0,First Owner,Automatic,2014,18.88,1995.0,1995.0,184.0,8.5,-0.04520178542403073
17,2018 BMW 3 Series 320d Luxury Line,Mar-18,Comprehensive,Diesel,5,53000.0,First Owner,Automatic,2018,22.69,1995.0,1995.0,190.0,23.5,-0.04087617833769159
18,2019 Ford Ecosport 1.5 Petrol Titanium Plus BSIV,Nov-19,Comprehensive,Petrol,5,40000.0,First Owner,Manual,2019,17.0,1497.0,1497.0,12136.0,7.95,-0.0453603910171965
19,2020 Jeep Compass 1.4 Limited Plus,Nov-20,Comprehensive,Petrol,5,48000.0,First Owner,Automatic,2020,14.1,1368.0,1368.0,16077.0,18.95,-0.04218827915388113
20,2021 MG Gloster Savvy 6-Str,Sep-21,Comprehensive,Diesel,6,35000.0,First Owner,Automatic,2021,12.4,1996.0,1996.0,21501.0,35.0,-0.03755987957149824
21,2010 Maruti Swift 1.2 VXi BSII,Oct-10,Comprehensive,Petrol,5,100525.0,First Owner,Manual,2010,16.1,1197.0,1197.0,85.0,2.09,-0.04705026151892632
22,2015 Honda City i VTEC CVT VX,Sep-15,Third Party insurance,Petrol,5,83000.0,Second Owner,Automatic,2015,18.0,1497.0,1497.0,1173.0,6.25,-0.045850626486981606
23,2011 Maruti Wagon R LXI BSIII,Aug-11,Comprehensive,Petrol,5,40191.0,Second Owner,Manual,2011,998.0,671.0,671.0,90.0,2.12,-0.047041610304753644
24,2015 Audi A6 35 TDI,Dec-15,Comprehensive,Diesel,5,62152.0,First Owner,Automatic,2015,18.53,1968.0,1968.0,18774.0,20.0,-0.04188548665783739
25,2017 Hyundai Creta 1.6 VTVT S,Aug-17,Third Party insurance,Petrol,5,49000.0,First Owner,Manual,2017,15.29,1591.0,1591.0,1213.0,8.35,-0.045245041494894125
26,2017 Maruti Baleno 1.2 Delta,Aug-17,Comprehensive,Petrol,5,56215.0,First Owner,Manual,2017,21.4,1197.0,1197.0,831.0,5.03,-0.04620244253000386
27,2018 Toyota Yaris J,Sep-18,Comprehensive,Petrol,5,53000.0,First Owner,Manual,2018,17.1,1496.0,1496.0,10594.0,6.95,-0.045648764822952444
28,2015 Toyota Fortuner 4x2 AT,Sep-15,Comprehensive,Diesel,7,100000.0,First Owner,Automatic,2015,12.55,2982.0,2982.0,1685.0,16.0,-0.04303898188086116
29,2020 Hyundai Creta SX Turbo BSVI,Aug-20,Comprehensive,Petrol,5,36346.0,First Owner,Automatic,2020,16.8,1353.0,1353.0,13808.0,15.22,-0.043263913449350794
30,2018 Jaguar XE 2.0L Diesel Portfolio,Jul-18,Comprehensive,Diesel,5,48000.0,First Owner,Automatic,2018,13.5,1999.0,1999.0,177.0,26.95,-0.03988128870783359
31,2019 Hyundai i20 Sportz Plus BSIV,Nov-19,Comprehensive,Petrol,5,42098.0,First Owner,Manual,2019,18.6,1197.0,1197.0,8186.0,6.7,-0.04572085827439143
32,2018 Jeep Compass 2.0 Longitude Option BSIV,2018,Third Party insurance,Diesel,5,40000.0,First Owner,Manual,2018,17.1,1956.0,1956.0,170.0,10.75,-0.04455294436107986
33,2019 BMW X1 sDrive 20d xLine,Oct-19,Comprehensive,Diesel,5,64000.0,First Owner,Automatic,2019,20.68,1995.0,1995.0,188.0,25.5,-0.040299430726179704
34,2022 Maruti Swift ZXI Plus DT AMT BSVI,Dec-22,Comprehensive,Petrol,5,13158.0,First Owner,Automatic,2022,22.56,1197.0,1197.0,8850.0,8.38,-0.04523639028072145
35,2018 Hyundai Creta 1.6 SX Automatic Diesel,Jun-18,Third Party insurance,Diesel,5,65400.0,First Owner,Automatic,2018,17.6,1582.0,1582.0,1262.0,10.9,-0.04450968829021647
36,2017 Honda Amaze S i-VTEC,2017,Third Party insurance,Petrol,5,100000.0,First Owner,Manual,2017,17.8,1198.0,1198.0,867.0,3.95,-0.04651388624022028
37,2022 Tata Tiago XZ Plus CNG BSVI,Aug-22,Comprehensive,CNG,5,30000.0,First Owner,Manual,2022,26.49,1199.0,1199.0,72.0,7.25,-0.04556225268122566
38,2017 Honda Jazz 1.5 E i DTEC,Jun-17,Comprehensive,Diesel,5,62000.0,First Owner,Manual,2017,1498.0,986.0,986.0,200.0,4.75,-0.04628318719561552
39,2010 Volkswagen Beetle 2.0,May-10,Comprehensive,Petrol,4,40000.0,First Owner,Automatic,2010,10.98,1984.0,1984.0,1144.0,11.95,-0.04420689579417273
40,2021 MG Gloster Savvy 6-Str,Sep-21,Comprehensive,Diesel,6,35000.0,First Owner,Automatic,2021,12.4,1996.0,1996.0,21501.0,35.0,-0.03755987957149824
41,2010 Maruti Swift 1.2 VXi BSII,Oct-10,Comprehensive,Petrol,5,100525.0,First Owner,Manual,2010,16.1,1197.0,1197.0,85.0,2.09,-0.04705026151892632
42,2015 Honda City i VTEC CVT VX,Sep-15,Third Party insurance,Petrol,5,83000.0,Second Owner,Automatic,2015,18.0,1497.0,1497.0,1173.0,6.25,-0.045850626486981606
43,2011 Maruti Wagon R LXI BSIII,Aug-11,Comprehensive,Petrol,5,40191.0,Second Owner,Manual,2011,998.0,671.0,671.0,90.0,2.12,-0.047041610304753644
44,2015 Audi A6 35 TDI,Dec-15,Comprehensive,Diesel,5,62152.0,First Owner,Automatic,2015,18.53,1968.0,1968.0,18774.0,20.0,-0.04188548665783739
45,2017 Hyundai Creta 1.6 VTVT S,Aug-17,Third Party insurance,Petrol,5,49000.0,First Owner,Manual,2017,15.29,1591.0,1591.0,1213.0,8.35,-0.045245041494894125
46,2017 Maruti Baleno 1.2 Delta,Aug-17,Comprehensive,Petrol,5,56215.0,First Owner,Manual,2017,21.4,1197.0,1197.0,831.0,5.03,-0.04620244253000386
47,2018 Toyota Yaris J,Sep-18,Comprehensive,Petrol,5,53000.0,First Owner,Manual,2018,17.1,1496.0,1496.0,10594.0,6.95,-0.045648764822952444
48,2015 Toyota Fortuner 4x2 AT,Sep-15,Comprehensive,Diesel,7,100000.0,First Owner,Automatic,2015,12.55,2982.0,2982.0,1685.0,16.0,-0.04303898188086116
49,2020 Hyundai Creta SX Turbo BSVI,Aug-20,Comprehensive,Petrol,5,36346.0,First Owner,Automatic,2020,16.8,1353.0,1353.0,13808.0,15.22,-0.043263913449350794
50,2018 Jaguar XE 2.0L Diesel Portfolio,Jul-18,Comprehensive,Diesel,5,48000.0,First Owner,Automatic,2018,13.5,1999.0,1999.0,177.0,26.95,-0.03988128870783359
51,2019 Hyundai i20 Sportz Plus BSIV,Nov-19,Comprehensive,Petrol,5,42098.0,First Owner,Manual,2019,18.6,1197.0,1197.0,8186.0,6.7,-0.04572085827439143
52,2018 Jeep Compass 2.0 Longitude Option BSIV,2018,Third Party insurance,Diesel,5,40000.0,First Owner,Manual,2018,17.1,1956.0,1956.0,170.0,10.75,-0.04455294436107986
53,2019 BMW X1 sDrive 20d xLine,Oct-19,Comprehensive,Diesel,5,64000.0,First Owner,Automatic,2019,20.68,1995.0,1995.0,188.0,25.5,-0.040299430726179704
54,2022 Maruti Swift ZXI Plus DT AMT BSVI,Dec-22,Comprehensive,Petrol,5,13158.0,First Owner,Automatic,2022,22.56,1197.0,1197.0,8850.0,8.38,-0.04523639028072145
55,2018 Hyundai Creta 1.6 SX Automatic Diesel,Jun-18,Third Party insurance,Diesel,5,65400.0,First Owner,Automatic,2018,17.6,1582.0,1582.0,1262.0,10.9,-0.04450968829021647
56,2017 Honda Amaze S i-VTEC,2017,Third Party insurance,Petrol,5,100000.0,First Owner,Manual,2017,17.8,1198.0,1198.0,867.0,3.95,-0.04651388624022028
57,2022 Tata Tiago XZ Plus CNG BSVI,Aug-22,Comprehensive,CNG,5,30000.0,First Owner,Manual,2022,26.49,1199.0,1199.0,72.0,7.25,-0.04556225268122566
58,2017 Honda Jazz 1.5 E i DTEC,Jun-17,Comprehensive,Diesel,5,62000.0,First Owner,Manual,2017,1498.0,986.0,986.0,200.0,4.75,-0.04628318719561552
59,2010 Volkswagen Beetle 2.0,May-10,Comprehensive,Petrol,4,40000.0,First Owner,Automatic,2010,10.98,1984.0,1984.0,1144.0,11.95,-0.04420689579417273
60,2023 Honda City ZX CVT,Mar-23,Comprehensive,Petrol,5,10280.0,First Owner,Automatic,2023,18.4,1498.0,1498.0,11935.0,16.0,-0.04303898188086116
61,2015 Maruti Baleno 1.2 Alpha,Nov-15,Comprehensive,Petrol,5,17282.0,First Owner,Manual,2015,21.4,1197.0,1197.0,831.0,5.45,-0.04608132553158636
62,2019 Honda CR-V 2.0 CVT,Aug-19,Third Party insurance,Petrol,5,30500.0,First Owner,Automatic,2019,14.4,1997.0,1997.0,15189.0,22.95,-0.04103478393085736
63,2020 Kia Seltos HTX Plus Diesel,Sep-20,Comprehensive,Diesel,5,60755.0,First Owner,Manual,2020,20.8,1493.0,1493.0,11343.0,13.51,-0.04375703265719346
64,2021 Mercedes-Benz C-Class Progressive C 200,Jul-21,Comprehensive,Petrol,5,25000.0,Second Owner,Automatic,2021,11.9,1950.0,1950.0,20115.0,40.75,-0.03590173018840157
65,2018 Mahindra Scorpio S11,Aug-18,Comprehensive,Diesel,7,47000.0,First Owner,Manual,2018,15.4,2179.0,2179.0,13678.0,14.5,-0.04347154258949507
66,2020 Kia Seltos GTX DCT,Jun-20,Comprehensive,Petrol,5,59316.0,First Owner,Automatic,2020,16.2,1353.0,1353.0,138.0,13.99,-0.043618613230430606
67,2021 Toyota Yaris J BSIV,Apr-21,Comprehensive,Petrol,5,48000.0,Third Owner,Manual,2021,17.1,1496.0,1496.0,1055.0,6.95,-0.045648764822952444
68,2023 BMW 5 Series 530i M Sport BSVI,Nov-23,Zero Dep,Petrol,5,20000.0,First Owner,Automatic,2023,14.82,1998.0,1998.0,24808.0,65.0,-0.028908665398819956
69,2020 Renault KWID Climber 1.0 AMT Opt,Dec-20,Third Party insurance,Petrol,5,12503.0,First Owner,Automatic,2020,22.0,999.0,999.0,67.0,5.15,-0.04616783767331314
70,2021 Jeep Compass 1.4 Sport BSVI,Jun-21,Comprehensive,Petrol,5,10000.0,First Owner,Manual,2021,14.3,1368.0,1368.0,16077.0,15.95,-0.04305340057114896
71,2011 Maruti Swift 1.2 VXi BSII,May-11,Comprehensive,Petrol,5,73717.0,Second Owner,Manual,2011,16.1,1197.0,1197.0,85.0,2.41,-0.046957981901084425
72,2016 Mercedes-Benz GL-Class 350 CDI Blue Efficiency,2016,Third Party insurance,Diesel,7,90000.0,Second Owner,Automatic,2016,11.3,2987.0,2987.0,2548.0,32.5,-0.0382808140858881
73,2017 Honda Jazz V CVT,Oct-17,Comprehensive,Petrol,5,17000.0,First Owner,Automatic,2017,17.1,1199.0,1199.0,8850.0,5.95,-0.045937138628708386
74,2014 Hyundai Grand i10 AT Asta,Nov-14,Comprehensive,Petrol,5,36047.0,First Owner,Automatic,2014,18.9,1197.0,1197.0,82.0,4.32,-0.046407187932090574
75,2018 Maruti Wagon R CNG LXI,Feb-18,Comprehensive,CNG,5,45000.0,First Owner,Manual,2018,998.0,5833.0,5833.0,78.0,4.45,-0.0463696993373423
76,2009 Maruti Swift Dzire VDi,2009,Third Party insurance,Diesel,5,100000.0,First Owner,Manual,2009,19.3,1248.0,1248.0,739.0,2.0,-0.04707621516144436
77,2016 Hyundai i10 Sportz,Jul-16,Comprehensive,Petrol,5,50000.0,Second Owner,Manual,2016,20.36,1197.0,1197.0,789.0,3.45,-0.04665807314309825
78,2018 Maruti Swift VXI,Aug-18,Comprehensive,Petrol,5,51000.0,First Owner,Manual,2018,22.0,1197.0,1197.0,8180.0,5.5,-0.04606690684129856
79,2018 Mahindra XUV500 W5,Jul-18,Third Party,Diesel,7,62000.0,Second Owner,Manual,2018,2179.0,15287.0,15287.0,360.0,8.5,-0.04520178542403073
80,2023 Honda City ZX CVT,Mar-23,Comprehensive,Petrol,5,10280.0,First Owner,Automatic,2023,18.4,1498.0,1498.0,11935.0,16.0,-0.04303898188086116
81,2015 Maruti Baleno 1.2 Alpha,Nov-15,Comprehensive,Petrol,5,17282.0,First Owner,Manual,2015,21.4,1197.0,1197.0,831.0,5.45,-0.04608132553158636
82,2019 Honda CR-V 2.0 CVT,Aug-19,Third Party insurance,Petrol,5,30500.0,First Owner,Automatic,2019,14.4,1997.0,1997.0,15189.0,22.95,-0.04103478393085736
83,2020 Kia Seltos HTX Plus Diesel,Sep-20,Comprehensive,Diesel,5,60755.0,First Owner,Manual,2020,20.8,1493.0,1493.0,11343.0,13.51,-0.04375703265719346
84,2021 Mercedes-Benz C-Class Progressive C 200,Jul-21,Comprehensive,Petrol,5,25000.0,Second Owner,Automatic,2021,11.9,1950.0,1950.0,20115.0,40.75,-0.03590173018840157
85,2018 Mahindra Scorpio S11,Aug-18,Comprehensive,Diesel,7,47000.0,First Owner,Manual,2018,15.4,2179.0,2179.0,13678.0,14.5,-0.04347154258949507
86,2020 Kia Seltos GTX DCT,Jun-20,Comprehensive,Petrol,5,59316.0,First Owner,Automatic,2020,16.2,1353.0,1353.0,138.0,13.99,-0.043618613230430606
87,2021 Toyota Yaris J BSIV,Apr-21,Comprehensive,Petrol,5,48000.0,Third Owner,Manual,2021,17.1,1496.0,1496.0,1055.0,6.95,-0.045648764822952444
88,2023 BMW 5 Series 530i M Sport BSVI,Nov-23,Zero Dep,Petrol,5,20000.0,First Owner,Automatic,2023,14.82,1998.0,1998.0,24808.0,65.0,-0.028908665398819956
89,2020 Renault KWID Climber 1.0 AMT Opt,Dec-20,Third Party insurance,Petrol,5,12503.0,First Owner,Automatic,2020,22.0,999.0,999.0,67.0,5.15,-0.04616783767331314
90,2021 Jeep Compass 1.4 Sport BSVI,Jun-21,Comprehensive,Petrol,5,10000.0,First Owner,Manual,2021,14.3,1368.0,1368.0,16077.0,15.95,-0.04305340057114896
91,2011 Maruti Swift 1.2 VXi BSII,May-11,Comprehensive,Petrol,5,73717.0,Second Owner,Manual,2011,16.1,1197.0,1197.0,85.0,2.41,-0.046957981901084425
92,2016 Mercedes-Benz GL-Class 350 CDI Blue Efficiency,2016,Third Party insurance,Diesel,7,90000.0,Second Owner,Automatic,2016,11.3,2987.0,2987.0,2548.0,32.5,-0.0382808140858881
93,2017 Honda Jazz V CVT,Oct-17,Comprehensive,Petrol,5,17000.0,First Owner,Automatic,2017,17.1,1199.0,1199.0,8850.0,5.95,-0.045937138628708386
94,2014 Hyundai Grand i10 AT Asta,Nov-14,Comprehensive,Petrol,5,36047.0,First Owner,Automatic,2014,18.9,1197.0,1197.0,82.0,4.32,-0.046407187932090574
95,2018 Maruti Wagon R CNG LXI,Feb-18,Comprehensive,CNG,5,45000.0,First Owner,Manual,2018,998.0,5833.0,5833.0,78.0,4.45,-0.0463696993373423
96,2009 Maruti Swift Dzire VDi,2009,Third Party insurance,Diesel,5,100000.0,First Owner,Manual,2009,19.3,1248.0,1248.0,739.0,2.0,-0.04707621516144436
97,2016 Hyundai i10 Sportz,Jul-16,Comprehensive,Petrol,5,50000.0,Second Owner,Manual,2016,20.36,1197.0,1197.0,789.0,3.45,-0.04665807314309825
98,2018 Maruti Swift VXI,Aug-18,Comprehensive,Petrol,5,51000.0,First Owner,Manual,2018,22.0,1197.0,1197.0,8180.0,5.5,-0.04606690684129856
99,2018 Mahindra XUV500 W5,Jul-18,Third Party,Diesel,7,62000.0,Second Owner,Manual,2018,2179.0,15287.0,15287.0,360.0,8.5,-0.04520178542403073
100,2017 Toyota Camry 2.5 Hybrid,Jul-17,Third Party insurance,Petrol,5,45000.0,First Owner,Automatic,2017,19.16,2494.0,2494.0,1577.0,22.5,-0.04116455214344753
101,2021 Hyundai i20 Asta Opt Turbo DCT BSVI,Aug-21,Comprehensive,Petrol,5,17041.0,First Owner,Automatic,2021,20.28,998.0,998.0,11841.0,10.49,-0.044627921550576405
102,2018 Mahindra XUV500 W6 1.99 mHawk,Nov-18,Comprehensive,Diesel,7,49000.0,First Owner,Manual,2018,16.0,1997.0,1997.0,140.0,9.25,-0.04498550506971377
103,2020 Hyundai Venue SX Turbo,Aug-20,Comprehensive,Petrol,5,23588.0,First Owner,Manual,2020,18.27,998.0,998.0,11835.0,9.2,-0.04499992376000157
104,2018 Mercedes-Benz CLA Urban Sport 200d,Oct-18,Comprehensive,Diesel,5,50000.0,Second Owner,Automatic,2018,17.9,2143.0,2143.0,1341.0,22.0,-0.0413087390463255
105,2017 Toyota Innova Crysta 2.8 GX AT BSIV,Mar-17,Third Party insurance,Diesel,7,76000.0,First Owner,Automatic,2017,11.36,2755.0,2755.0,1715.0,14.75,-0.04339944913805609
106,2019 Maruti Baleno Delta,May-19,Comprehensive,Petrol,5,49341.0,First Owner,Manual,2019,21.01,1197.0,1197.0,8180.0,5.76,-0.045991929651802016
107,2013 Honda Amaze VX i-Vtech,May-13,Comprehensive,Petrol,5,56000.0,First Owner,Manual,2013,18.0,1198.0,1198.0,867.0,3.25,-0.046715747904249434
108,2023 MG Hector Plus 1.5 Turbo Sharp Pro CVT BSVI,May-23,Comprehensive,Petrol,6,12000.0,First Owner,Automatic,2023,12.34,1451.0,1451.0,141.0,21.0,-0.041597112852081446
109,2014 Honda City i VTEC V,Jul-14,Comprehensive,Petrol,5,51734.0,First Owner,Manual,2014,17.8,1497.0,1497.0,1173.0,5.72,-0.046003464604032256
110,2018 Maruti Swift VXI,Jun-18,Third Party insurance,Petrol,5,22000.0,First Owner,Manual,2018,22.0,1197.0,1197.0,8180.0,5.75,-0.04599481338985958
111,2018 Hyundai Creta 1.6 SX Diesel,Aug-18,Comprehensive,Diesel,5,45084.0,First Owner,Manual,2018,20.5,1582.0,1582.0,1262.0,9.22,-0.044994156283886456
112,2015 Mahindra Scorpio S10 AT 4WD,2015,Third Party insurance,Diesel,7,20000.0,First Owner,Automatic,2015,15.4,2179.0,2179.0,120.0,11.0,-0.04448085090964087
113,2016 Honda Amaze S i-VTEC,Sep-16,Comprehensive,Petrol,5,29000.0,First Owner,Manual,2016,17.8,1198.0,1198.0,867.0,4.8,-0.04626876850532772
114,2021 Hyundai Venue SX Turbo,Jan-22,Comprehensive,Petrol,5,16763.0,First Owner,Manual,2021,18.27,998.0,998.0,11835.0,9.69,-0.04485862059518116
115,2022 Tata Altroz XM plus BSVI,May-22,Third Party insurance,Petrol,5,6000.0,First Owner,Manual,2022,19.33,1199.0,1199.0,8683.0,6.95,-0.045648764822952444
116,2017 BMW 7 Series 730Ld M Sport,2017,Third Party insurance,Diesel,5,60000.0,2993 cc,2017,Power Steering,2993.0,26149.0,26149.0,620.0,55.0,-0.03179240345637939
117,2015 Mahindra XUV500 W4,Aug-15,Comprehensive,Diesel,7,86000.0,First Owner,Manual,2015,15.1,2179.0,2179.0,140.0,5.45,-0.04608132553158636
118,2018 Honda Jazz VX CVT,Jul-18,Comprehensive,Petrol,5,24000.0,First Owner,Automatic,2018,17.1,1199.0,1199.0,8850.0,6.55,-0.04576411434525482
119,2021 Hyundai Venue S,Mar-21,Comprehensive,Petrol,5,9000.0,First Owner,Manual,2021,20.36,1197.0,1197.0,8180.0,7.75,-0.045418065778347685
120,2017 Toyota Camry 2.5 Hybrid,Jul-17,Third Party insurance,Petrol,5,45000.0,First Owner,Automatic,2017,19.16,2494.0,2494.0,1577.0,22.5,-0.04116455214344753
121,2021 Hyundai i20 Asta Opt Turbo DCT BSVI,Aug-21,Comprehensive,Petrol,5,17041.0,First Owner,Automatic,2021,20.28,998.0,998.0,11841.0,10.49,-0.044627921550576405
122,2018 Mahindra XUV500 W6 1.99 mHawk,Nov-18,Comprehensive,Diesel,7,49000.0,First Owner,Manual,2018,16.0,1997.0,1997.0,140.0,9.25,-0.04498550506971377
123,2020 Hyundai Venue SX Turbo,Aug-20,Comprehensive,Petrol,5,23588.0,First Owner,Manual,2020,18.27,998.0,998.0,11835.0,9.2,-0.04499992376000157
124,2018 Mercedes-Benz CLA Urban Sport 200d,Oct-18,Comprehensive,Diesel,5,50000.0,Second Owner,Automatic,2018,17.9,2143.0,2143.0,1341.0,22.0,-0.0413087390463255
125,2017 Toyota Innova Crysta 2.8 GX AT BSIV,Mar-17,Third Party insurance,Diesel,7,76000.0,First Owner,Automatic,2017,11.36,2755.0,2755.0,1715.0,14.75,-0.04339944913805609
126,2019 Maruti Baleno Delta,May-19,Comprehensive,Petrol,5,49341.0,First Owner,Manual,2019,21.01,1197.0,1197.0,8180.0,5.76,-0.045991929651802016
127,2013 Honda Amaze VX i-Vtech,May-13,Comprehensive,Petrol,5,56000.0,First Owner,Manual,2013,18.0,1198.0,1198.0,867.0,3.25,-0.046715747904249434
128,2023 MG Hector Plus 1.5 Turbo Sharp Pro CVT BSVI,May-23,Comprehensive,Petrol,6,12000.0,First Owner,Automatic,2023,12.34,1451.0,1451.0,141.0,21.0,-0.041597112852081446
129,2014 Honda City i VTEC V,Jul-14,Comprehensive,Petrol,5,51734.0,First Owner,Manual,2014,17.8,1497.0,1497.0,1173.0,5.72,-0.046003464604032256
130,2018 Maruti Swift VXI,Jun-18,Third Party insurance,Petrol,5,22000.0,First Owner,Manual,2018,22.0,1197.0,1197.0,8180.0,5.75,-0.04599481338985958
131,2018 Hyundai Creta 1.6 SX Diesel,Aug-18,Comprehensive,Diesel,5,45084.0,First Owner,Manual,2018,20.5,1582.0,1582.0,1262.0,9.22,-0.044994156283886456
132,2015 Mahindra Scorpio S10 AT 4WD,2015,Third Party insurance,Diesel,7,20000.0,First Owner,Automatic,2015,15.4,2179.0,2179.0,120.0,11.0,-0.04448085090964087
133,2016 Honda Amaze S i-VTEC,Sep-16,Comprehensive,Petrol,5,29000.0,First Owner,Manual,2016,17.8,1198.0,1198.0,867.0,4.8,-0.04626876850532772
134,2021 Hyundai Venue SX Turbo,Jan-22,Comprehensive,Petrol,5,16763.0,First Owner,Manual,2021,18.27,998.0,998.0,11835.0,9.69,-0.04485862059518116
135,2022 Tata Altroz XM plus BSVI,May-22,Third Party insurance,Petrol,5,6000.0,First Owner,Manual,2022,19.33,1199.0,1199.0,8683.0,6.95,-0.045648764822952444
136,2017 BMW 7 Series 730Ld M Sport,2017,Third Party insurance,Diesel,5,60000.0,2993 cc,2017,Power Steering,2993.0,26149.0,26149.0,620.0,55.0,-0.03179240345637939
137,2015 Mahindra XUV500 W4,Aug-15,Comprehensive,Diesel,7,86000.0,First Owner,Manual,2015,15.1,2179.0,2179.0,140.0,5.45,-0.04608132553158636
138,2018 Honda Jazz VX CVT,Jul-18,Comprehensive,Petrol,5,24000.0,First Owner,Automatic,2018,17.1,1199.0,1199.0,8850.0,6.55,-0.04576411434525482
139,2021 Hyundai Venue S,Mar-21,Comprehensive,Petrol,5,9000.0,First Owner,Manual,2021,20.36,1197.0,1197.0,8180.0,7.75,-0.045418065778347685
140,2022 Kia Carens Prestige Plus Turbo DCT 2022-2023,Mar-22,Comprehensive,Petrol,7,14900.0,First Owner,Automatic,2022,16.5,1353.0,1353.0,13805.0,16.5,-0.04289479497798319
141,2022 Hyundai i20 N-Line N8 DCT BSVI,Feb-22,Comprehensive,Petrol,5,17172.0,Second Owner,Automatic,2022,20.25,998.0,998.0,11841.0,10.33,-0.04467406135949735
142,2020 Mercedes-Benz GLE 300d BSVI,Oct-20,Zero Dep,Diesel,5,33000.0,First Owner,Automatic,2020,1950.0,24138.0,24138.0,500.0,78.0,-0.0251598059239927
143,2016 Renault KWID RXT,Apr-16,Third Party insurance,Petrol,5,38000.0,Second Owner,Manual,2016,25.17,799.0,799.0,533.0,1.85,-0.04711947123230775
144,2022 Tata Altroz XZ Plus BSVI,Sep-23,Comprehensive,Petrol,5,11501.0,First Owner,Manual,2022,19.33,1199.0,1199.0,8683.0,8.24,-0.045276762613527276
145,2022 Mercedes-Benz GLE 300d BSVI,May-22,Zero Dep,Diesel,5,43703.0,First Owner,Automatic,2022,1950.0,24138.0,24138.0,500.0,82.9,-0.023746774275788578
146,2021 Toyota Fortuner Legender 4x2 AT,Dec-21,Comprehensive,Diesel,7,29800.0,First Owner,Automatic,2021,2755.0,20115.0,20115.0,500.0,44.0,-0.03496451531969476
147,2020 Maruti Baleno Zeta,Oct-20,Comprehensive,Petrol,5,22051.0,First Owner,Manual,2020,21.01,1197.0,1197.0,8180.0,6.98,-0.045640113608779766
148,2021 Maruti Baleno Sigma,Nov-21,Comprehensive,Petrol,5,32965.0,First Owner,Manual,2021,1197.0,8180.0,8180.0,113.0,5.75,-0.04599481338985958
